gid_0,country,gid_1,internet_women,internet_men,internet_fm_ratio,mobile_women,mobile_men,mobile_fm_ratio,internet_women_national,internet_men_national,internet_fm_ratio_national,mobile_women_national,mobile_men_national,mobile_fm_ratio_national
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.3_1,0.11862,0.36762,0.16705,0.44262,0.75209,0.35247,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.4_1,0.24992,0.49731,0.28772,0.52648,0.87537,0.39979,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.5_1,0.14108,0.37232,0.18243,0.45238,0.69073,0.36052,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.6_1,0.17635,0.34422,0.27486,0.40656,0.59719,0.36506,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
